0.316,2.943897,5
0.316,2.981763,5
0.316,2.904419,5
0.316,2.914087,5
0.316,2.8875,5
0.316,2.955176,5
0.316,2.859302,5
0.316,2.88186,5
0.316,2.9302,5
0.316,2.898779,5
0.316,2.921338,5
0.316,2.864941,5
0.316,2.854468,5
0.316,2.91167,5
0.316,2.899585,5
0.316,2.909253,5
0.316,2.941479,5
0.316,2.93584,5
0.316,2.923755,5
0.316,2.912476,5
0.316,2.861719,5
0.316,2.83916,5
0.316,2.889111,5
0.316,2.927783,5
0.316,2.900391,5
0.316,2.937451,5
0.316,3.001904,5
0.316,2.957593,5
0.316,2.866553,5
0.316,2.843189,5
0.316,2.921338,5
0.316,2.895557,5
0.316,2.803711,5
0.316,2.804517,5
0.316,2.897974,5
0.3165,2.910058,5
0.316,2.86897,5
0.316,2.830298,5
0.316,2.926172,5
0.316,2.885889,5
0.318,2.923755,5
0.321,2.860107,5
0.345,2.760205,5
0.353,2.771484,5
0.416,2.52898,5
0.425,2.598267,5
0.497,2.315479,5
0.524,2.242163,5
0.607,1.99563,5
0.634,2.002881,5
0.721,1.756348,5
0.747,1.685449,5
0.858,1.625024,5
0.877,1.867529,5
0.983,1.654834,5
1.002,1.560571,5
1.11,1.31001,5
1.132,1.295508,5
1.2055,1.160962,5
1.221,1.214136,5
1.2535,1.115039,5
1.339,1.08523,5
1.369,1.008691,5
1.391,0.985327,5
1.4575,0.972437,5
1.477,1.037695,5
1.4905,0.976465,5
1.5775,0.908789,5
1.615,0.846753,5
1.6465,0.903149,5
1.72,0.841113,5
1.752,0.868506,5
1.858,0.696899,5
1.885,0.610693,5
2.011,0.554297,5
2.04,0.550269,5
